,0
727,summer weather wua :-(((
728,I tried to sleep but I noticed my picky finger started to swell up and :( ugh omg
729,one of my favourite mutuals just unfollowed me :((
730,I said gn along time ago my ass can't fall asleep :(
731,I can't sleep :( http://t.co/7IiyoPYtXl
732,kik - thenting423 #kik #kiksex #omegle #skype #amateur #sabadodeganarseguidores #sexual :( http://t.co/VcRhaDOqPt
733,@ApplePieQueen_ I haven't even watched any it just syncs from plug.dj :(
734,My nose and forehead are peeling :(
735,@NaakiiChan my mum :(
736,Car &amp; suspemsion cant cope with all these offroading adventures now theres harvest machinery left in inapropriate places to weave around :((
737,@WinterJeff hahahaha were going nowhere fast. Not without some decent investment. Scottish football is dire at the moment :( #nomoney
738,@touchdamendes are you ok :( Im here if you want to talk
739,@_yungthot ur not in the nawf :(
740,@larriii7 do sum :( .
741,@xcorben_ Bechos. :(
742,danny :( @TheScript_Danny
743,@nekrotizan sorry :(
744,"♥ [ENG] ♥ - Let's talk, since can't stream games :(: http://t.co/Br36TjVYNd"
745,@Tsholo_Mapz OVERLY please do  my lab for me :(
746,@zappygolucky OMG LOVE IT TY ZAP :((((((
747,@lawandsexuality that makes really distressing reading :-(
748,Don't wanna live in the world where people get shot when going to cinema #LouisianaShooting :((
749,"@nws1886 Yeah ... I got this shit in a bag. ""Laughing in the face of anxiety"" har har har. I think ! :( how's it go, chum? Out this weekend?"
750,just ended ncc and now heading to training. gonna be late :-(
751,@1DInfectionMNL I miss them :( I hope they will come back here in PH :(( balik naman kayo oh @onedirection
752,Itong shirt oh! :( I want thaaaat!!! :(( (ctto) http://t.co/YILATtPk6W
753,"Expired and I used BIS money now I'm broke ):(""@TheActualKing: @portiatearsbee you got BB where is your BIS?"""
754,@ObeeyRainbow this makes me feel bad :(
755,"@thomsk93 @KnucklePuckIL @CantSeeColour will listen tonight, it's tough having a full time job :-("
756,Leave me alone :(
757,started reading at 11 and now its 3:33 :( jfc time flies by
758,Goodbye stage :( you'll be miss
759,New bio. Bodo amat :-(
760,@KadiDiallo4 thats it! Watch it go by quick though.. :(
761,All of my friends are asleep :(:(:(
762,@triassy yelaaaaaaa :(
763,Sooooooooooo tired :(
764,@espresso_based is that you? what happened? :(
765,want to sleep but not tired :((
766,Home time today for me and @ASTownley :( #dublin http://t.co/EZRfqqlzXc
767,Someone have a harry potter marathon with me :((
768,tbh i miss you :(
769,I don't know how to find a balance :((((
770,@THESCORCHCRANKS WHY DO YOU HAVE TO UNFOLLOW ME?:(
771,"Want a big hug.
Want a sweet smile.
Want a warm eyes.
Since this moment I can't have it.
:("
772,@ForbiddenPlanet @ValiantComics @MyZombies Would so love to win! Can't afford to buy comics at the moment and I'm pining for them! :(
773,@teamkins Oh this isn't good to hear :( What have you been asked to provide exactly?
774,@lancepriebe Is there any chance you could add a keybind feature to Wild Warfare? Because I can't change my controlls so I can't play.. :(
775,Been diagnosed wiv Scheuermann's disease.......back bone rlyhurts howdo u do it georgesampson cant stand da pain can't do P.E :( x
776,@ManasRM @AnjariaSameer @Airtel_Presence where is #voice signal? Not able to make calls :-( http://t.co/iF9jbN3cgm
777,What do we reckon are the chances of me seeing any #T20 action in #Taunton tonight??? *hopeful but realistic face* :-(
778,"@z1mb0bw4y and 2 weeks of vacation, which I dont have... :("
779,i love you :(  http://t.co/1q9EZyGWXI
780,ugh im so excited for made :(((((((((((((((((
781,@kohquette you're good and you should feel good!!! :(
782,#JusticeForSandraBland #SandraBland this is disturbing just shows the poor women was already dead in the mug shot :( https://t.co/K17rqTUbeH
783,sick of this feeling. :( i just wanna be happpy
784,"justinbieber can u pls follow me on &gt;daianerufato&lt; i've been trying for too long :( ilysm bae! xx (July 24, 2015 at 07:34AM)"
785,@ManLikeSergio Delphy Injured :(
786,weak at dom :( DOM TECHNIQUES?! https://t.co/5WyrdvjzSf
787,@jaimelesgyozas ah mince :(
788,@BAP_Bangyongguk I don't feel good :(
789,"@LuciHolland I completely forgot about Final Symphony :(
Need to meet up again sometime soon with Joe and co."
790,Tbh me too but they now busy wth their concert schedule :( aisyhhh https://t.co/16pOubmvlX
791,@clunis_96 I haven't been eyed up since I started going bald at the age of 14 :(
792,Only SeungChan cant get :( Aigooo My Riri
793,@iainbruce not good :(
794,My original ticket was £19 :(
795,@Jakers787 depends on when I have a vet visit for sick cat :( I'll let you know?
796,@jenxmish @wittykrushnic don't leave :(
797,i don't wanna get up :(((
798,"@elyusia i can find most major people EXCEPT his VA

i'm not sure if they just kept it same as luminous but they didn't do that in kms &gt;:("
799,@countrychoiceID min follback :(
800,@martinamegia_ its been treating me horribly ugh :( im v happy for u !
801,@kristikay13 Good morning! Hope it's a productive one for you. Time for me to get ready for work. :(
802,"""zayn"" starts with a small letter Z. Why? :( @Real_Liam_Payne"
803,@lifelesscurves they're really unique and refreshing :( the popularity was great too. Just why...just why &gt;_&gt;
804,"Once you start loving someone, it’s hard to stop.
*Bebeeeee :("
805,CHEM LT WAS NOT NICE :(((
806,.@sabal_abla @tanha_messiah Because people who point out inaccuracies in jokes might be inaccurate jokes. I got worried :(
807,@DarkSkinnedToni burning rn like this is so tragic :(((
808,I woke up really hungry :(
809,I love Joy :(
810,INFINITE GOT TO WIN &gt;:(
811,@PlanetRockRadio Sam I have seen rush 19 times. Would have been 20 in Toronto until my flight was cancelled on day of the show :( stuart
812,Party's goodbye stage :((
813,Iyalaya to anybody that would laugh at me today. I'd just have to wear my shades round the clock.:(
814,What is this ??? #ZaynIsComingBackOnJuly26 :( ;(
815,@godstalia aw fuck that sucks :((
816,@sianyw As if he wouldn't be happier here running around my house wearing a H&amp;M shirt. :(
817,@Mars_Sum41 noooo :( goodbye fun driving
818,I'm bored :( this one ubusy le fifa -_-
819,@lorrainepalileo @cailaaah i wanna go gymnastics with you guys :(( haha
820,I'm so sick aahhhh i hate this feeling :-(
821,"Ok, back to work :( http://t.co/QFtLZ2Cl0w"
822,My poor noggin! Bumped it a few days ago and it still hurts a little. :( #feelslikeanidiot
823,I'm forever eating like  Pregnant woman these Days :-(
824,Ugh :( My head hurts.
825,i dearly miss and love my sunshine @zaynmalik :-(
826,@PatelPatelxx @Starbucks can suk ma buttttttt. except their pumpkin scones.... but they havent made those in years :(((
827,"love outnumbered so much, wish there were more to watch :("
828,vidcon :(((
829,"@ErisLovesMovies :( Feel better soon, Eris. #support"
830,Hello ;3 geez.. i badly miss my 12 precious stars :( EXO&lt;3
831,@Beyfan1981 @HateTheseFools Yes Hive always sucks at voting... that is shit :((
832,They said #GOT7 will back to #VIETNAM this december !!!!! I DUNT THINK SO AWWWWWWWW :(( DON'T KID ME !!!!
833,@marmaisxcz IKR :( lol
834,can you hear my sobbing :((( http://t.co/Daoz0uAQGC
835,so cute :( http://t.co/hhhWQQ1Nh3
836,@sociopathslut @onikashabibi but why don't I have buff legs yet :(
837,noo toni deactivated too?? :(
838,Bra Shady's kisses though!  :-( #Isibaya
839,this place will forever hold a very special place in my heart :-( ❤️ gonna miss you Germany 😓 http://t.co/fwDwYoVEPV
840,Haven't really slept all night :( I'm in a different place where it's a little colder. Hopefully that will help. Took some meds
841,Leaving for the airport soon :( don't wanna go home.
842,@clemencycox i want a sausage roll :-(
843,Rain rain go away :(
844,work adios friends :(
845,I have a cold sore :( ew h8 this. Help
846,What's wrong with my fb messenger :((((
847,I wish my band were shittier so we could get booked on Leno :(
848,Identity crisis :(
849,3:33 am and all of my roommates are officially knocked out :( so much for an all nighter
850,A bird just flew into the window and now it's dead :-(
851,@damnkathleen come thru b I miss you :(
852,@XxJenniferAmyxX Derek likes to tour &amp; visits Wetherspoons Pubs across the UK. Get Police to contact their H/O. Hope he OK. :(
853,@LittleMix PLEASE FOLLOW ME :(
854,Even had a dream that Frank Ocean released his new album ffs pls :((((
855,Snapchat me : LisaHerring19 #snapchat #kikme #kikmeboys #woman #ebony #weloveyounamjoon #sexi :( http://t.co/zVTYSy29uk
856,Don't know why I gave my white dress with small polka dots away :( 😭😭 *sigh* ndi hacked.
857,I miss my baby :-(
858,@HerFaithness it is &amp; I'm already having a bad day :-(
859,@erinaree It was SO yum but I had to feed 6 so no leftovers :(
860,@dullandwicked @_GrahamPatrick @JohnBoyStyle Has nobody told you about this side of twitter? It's in the T&amp;Cs. He owns you now. Sorry. :(
861,"The last dick pic I got was awful. It ruined walnut whips for me for life :-( 

I also named him and it turned out his wife followed me."
862,@Vicionius Boah! :(
863,"Things are hard right now, &amp; I can't even be home with Mady to help me through it. :("
864,i am so :((((((
865,@EpicRaver I know :(
866,@NatalieH__xx aww no but it's my last semester ever!! :( we def have to catch up sometime soon. We always leave it too long
867,This manga is just too cute and yet made me cry.. :( http://t.co/KB6GswBxMT
868,@LouiseMensch Just like that here at the moment....not. :-(
869,I ate all the leftovers of the giant #AmINormalYet cookie for breakfast and now I'm clutching my poorly tummy in my PJs and groaning :(
870,@ghinesaddi miss you :(
871,@_stroya nou youre not :-( here have a picture of Adam http://t.co/WEvVpVoAmx
872,@sinSALEM this is a very sad moment :(
873,@lukelegs69that wouldn't be right :((
874,Ken Saras. Waiting for my sister. She was in accident. So poor :( https://t.co/44TvKaVDCJ
875,@Rorington95 did they manage to sort your ticket issue mate? Nobody picked up when i rang the box office :(
876,Fk!!!!! I have no freaking words to describe this.... Eric Prydz How? like how? :( This is out of the world!! http://t.co/W5uDTzdhAi
877,Not 12 hours after my sister-in-law installed that new @DionoUSA seat we bought her she was rear-ended! everyone's fine but seat is trash :(
878,"For the first time in my life I've had to hold my boobs whilst running down stairs, is my no bra life over :("
879,@ljenkins314 @fringenerd @Noin007 I like paper books :(
880,@SensodyneIndia we friends love to eat ice cream during childhood. Missing those days :( #Toothsensitivity
881,@father me too :-(
882,@Belinda_Factor stressful :( you not even my dress size ke shem..
883,Trust me to be no well :( Awell not be long and I will be to drunk to care #weekendofmadness 🍹🍸🍹
884,i really like this cb but not the outfit this time too bad :(
885,@lucyreesxo She threatened me :(
886,"i wanna be a dancer 
no
i wanna be a choregrapher
but 
I CANT :(
whyyyyyyyyyyyy is life so unfair"
887,@KittyKatPK happening anymore :(
888,@curiouskittten didn't even know you still existed on here haha text me :( 626-430-8715
889,@subharrie @roguefond i've messaged her but she hasn't replied and i dont even think she's active on facebook :(
890,@MlREU but i'm at work you hoe xD i can't even look at bby in peace :(((
891,@suziepanol WHY DO THAT TO US :(
892,Well it seems like just a dream :(
893,Dream team recording today :((( im sad xiu couldn't make it :(
894,Nk gi uss on birthday :(
895,"@HollieB awwwwww, I'm so sorry to hear that :("
896,@ElisseJoson miss you so much ate elisse :(( do u still remember me? 😭
897,i miss them so much :(
898,ksoo makes me so emo :((((((((((((((((((((((((((((((((
899,Wat a small session tat was :(..but still im little happy bcoz for the first time i heard my name from @rithvik_RD..but still too short..
900,@Doomcrew_Glen awwwww i'm so sorry. :( i bet she's looking down on you&lt;33
901,no matter how many times i try to sleep... i can't :(
902,"“@shakyra_cledera: ""paper town"" :--((((” sm :((("
903,@wittykrushnic don't go :(
904,I'm going to miss you baby! :(( @ Rancho Imperial de Silang Subdivision https://t.co/b5JvTqpm4N
905,traffic :-(
906,Twitter Help Center | Why can&amp;#39;t I follow people? https://t.co/LeL2yOp3Iq via @support i really really sorry about following evry one :(
907,@franksredhotuk Its not hot in Cornwall! its veritably cold :( great prize xx
908,@hancoverdalexo aww :( thanks anyway!!
909,Regular gym workouts are so boring when you could be spinning :(
910,I can't do it anymore. I can't have stress on my body yet my life is based upon stress I just can't do it :(
911,@ManOfZinc And I don't see a penny of it... :-( DM me your email address; I'll send you the ebook.
912,"Фотосет: addicted-to-analsex: sweetbj: #sweetbj #blowjob Mhhh, want to make a man happy now :( http://t.co/v9ryND7pcs"
913,im sed.. :-( the person im meeting is late and im at the other end of sg and i havent taken my dinner yet bless me
914,@willing_h I feel left out :(
915,@mblaq_seungh0 THEN WHY MENTION MEE OMG /envious/ please oppa eonni stop lovey dovey in front of your poor single dongsaeng :(
916,@ShannonEastwood I'm workin :( got a day off Tuesday tho haha x
917,@ulaaaaa1909 Schade :(
918,@CuddlesAri I am gutted! they NEVER do m&amp;g for Belfast :(
919,@klentmagsino im so jealous.. :( because you followed each other with Jacob @JacobWhitesides .. follow me too. Jacob :(
920,isco :(
921,@ImRefleex my penis is too small :(
922,omg me every fucking month... :( https://t.co/FX0CGVPDMX
923,I wish my dog liked to cuddle :(
924,Come on Carlton :(
925,@MOONEMOJAI babe :( can u still read thru the conversation on ur hushed?
926,Sometimes I wonder what went wrong :( guess I'll never know
927,"And more violence... :(  ...we are a Soul Sick nation...praying for Louisiana.
#Lafayette #matteroftheheart #peace"
928,waduh..pantes :( https://t.co/AWS63BItZA
929,"@keelzy81 you know, I actually got suspended for smoking, can you believe it? Teenage me was such a fucking cliche :("
930,Already miss @mikeyyfontt so much :(
931,@BocasSweets I miss youuuu :((((
932,Today #RMA jersey :(
933,@ButDinero your so fake I texted you :(
934,@Earl_Wolf24 not you :(
935,"♥ [ENG] ♥ - Let's talk, since can't stream games :(: http://t.co/bkNxSZfjm6"
936,@RuneMagique chance :(
937,Snapchat me - JaclinTiler #snapchat #snapchat #teens #models #likeforlike #mpoints #hotfmnoaidilforariana :( http://t.co/xxuygooKcq
938,"@superslothjai hi, can you do me some dms with luke please??:("
939,@AmandaT_Photo @OandtheFoxes really wanted to but ran out of time :(
940,i hate waking up in the middle of my sleep :(
941,he he he :(
942,@rupexo @LordOfTheMics fuckkk it's a Wednesday :(
943,"@PetiteMistress DO IT! I want to start one for making small games, but I feel like I need to get a jump start before asking for support :("
944,Justin where are you ? :( @justinbieber
945,:( :( I'm gonna cry
946,@IanHallard @ArtsTheatreLDN I'm really excited but also really sad because once again I won't be able to see it :(
947,"I can't finish my Sanum today! :(
#LLAOLLAO #Dessert but too full"
948,@jxstkatie @TheSvante i want foood :((
949,Last day :(
950,#UberIceCream was super! But we didnt get the glares :( @Uber_Pune
951,@ffyeahh i don't know how to do vines :(
952,@selenagomez you was Tweetin earlier this morning &amp; i wasn't here :( sad mood all the day :(
953,sunggyu has a plaster on his elbow.... is it from the fall? :-(
954,@ughimnotsam i am in the middle of figuring out how to choreo :(( next time girl!!
955,"@Afooo93 😭 this is me thinking she was well offensive, how can you laughing :("
956,@NEEDTOBREATHE love you..sad I wasn't up front :(
957,YEYY finally but my HD brows kit is broken slightly :(( @cohorted http://t.co/5CNhhfJpnJ
958,"@alexandraloisee Monday until wednesday, g na girl!!!! :("
959,Babe :(
960,I miss everyone omg :( school sux :(
961,@gelcababa enjoy :(
962,Add my KIK : nothaveld765 #kik #hornykik #edm #sexy #likeforfollow #hannibal #camsex :( http://t.co/EHtsuDdRuA
963,new mosquitoe bites :(
964,@CRMDKS are you into kinky shit--- we hsould justget married already : (
965,really dont wanna go home today :(
966,@Idamelatim you la :(((
967,when nothing like us comes up on shuffle :((
968,@notch hmm. I have been thinking about getting one for a while. Might get one inte future. I really miss buckling springs :(
969,"Ah Millz askies :( ""@_Millzxy3D: so you come back and awusasho ? :'( @Nessa_Mbeki"""
970,@sainsburys guys a really unlucky one. The driver and I briefly checked eggs but my other half spotted this : ( http://t.co/WpCqJHhBVk
971,Tired :(
972,im greatful that i can still see u despite of 144p :(
973,@pikaiba I LOVE BROOKE I'm just concerned cause his face is all cracked :(
974,"＠maverickgamer_　July 24, 2015 at 07:32PM 　:("
975,"＠maverickgamer_　July 24, 2015 at 07:25PM 　:("
976,Bored to the max rn :(
977,@tudipa Sorry that manage files on external SD card via AirDroid is not supported now (Android 4.4+) :( Google has restricted that.
978,@fkluca u are so cute thank u :(
979,@MICHAELC24H it's alright... cramps are killing me. :-(
980,MAYBE IT'S WRONG TO SAY PLEASE LOVE ME TOO &lt;/3 :(
981,@blockedmefat dont unstan tay :( never please
982,@Sibulela_M only white things I have ngeze turn up :( for all white parties I've been to. Have nothing cocktaily and classy 😭😭😭 so stressed.
983,@wbuharryy i love you :(
984,"＠maverickgamer_　July 24, 2015 at 07:24PM 　:("
985,I don't want to be stuck inside all day :((
986,@cmonlukey all of them :(
987,@BeardOfTsu @LucasWeatherby @ChrisJLatimer @Alex_AMS96 it came crashing down and it hurts inside :(
988,✈️2 days and I'm back in rainy UK :-(☔️
989,"@peterpalmer52 Hi Peter, We've not had pens for 2 years now. We just can't get them. There's not even spares in the office anymore either :("
990,@Biblioticaa I got delayed by guests. Sigh :(
991,@riseagainst why you don't come to Barcelona this year? :( won't be able to see you in Madrid or Bilbao...
992,"I hate Japanese call him ""bani"" :( :("
993,wish I had a nice booty :-((((
994,Who was next?? Oh yeah Sharyl! Currently don't got no #Shane ta call my own :( http://t.co/mOZlqwvvq0
995,all of my favourite people deactivate :(
996,I want to dance rn :(
997,im still giddy over d1 :-(
998,his smile is so beautiful :( https://t.co/OiAHorQJOb
999,"@heidsbland @asos95 yes, after 11 days. With a broken zipper.  Broken beyond repair. :("
1000,@seanactual You mean you're not offering? :(
1001,Saturday Classes! :(
1002,@EE I'm bad and kind of want an IPhone 6 but account says I can upgrade April 2016 too far :( *cont
1003,You need to come back to England....:(  @MacHarmon
1004,JAMES wore this in my meet and greet :((( http://t.co/MS60gaiIce
1005,tempted to eat this whole pack of oreos. need to find the strength not to do so. :(
1006,When there's  free Wifi networks available but they ain within range :(
1007,"Need ice cream, lolipop, chocolate, kebab, klappertart, cake and need moodboster !!! :("
1008,"Have a shoot tomorrow and haven't been told where and when because the team are only flying in this evening :( 
I hate being unprepared."
1009,"@gala_con Sry i have a question , where does the dresscode count , because i dont want to stand in front of closed doors and iam confused :("
1010,Oh my god :(
1011,@_CaitlinTierney dnt stab meh :(
1012,@biebzzur wrocilam :(((
1013,o otp :( http://t.co/EVislmNp5V
1014,Hoping that this is real :(( #ZaynIsComingBackOnJuly26
1015,Have work in 5 hours... :(
1016,all time looww(:(
1017,@Jamie_MARIEbear I've literally just recovered :(
1018,@haywayne Hi Wayne. We're sorry to hear you're looking to leave :( What's happened to make you want to go?
1019,@leighannajohns1 Oh no :( Insurance is for loss/stolen or accidentally damaged devices. Warranty repairs are sent to our repair centre.
1020,"😂😂😂""@Danny_boym: Lol 👌""@sick_fruits: :( @_kydd_que: LMFAOO..So Accurate!!! http://t.co/k4daapzfUz"""""
1021,@angelhairhes Please Fra i am hoping u can pick me :(
1022,off to the airport :(
1023,Alive and got to spend more time with Harry and got to tell him stories about James :(( I'm really sad :(((
1024,@Hayles_101 Dont say that they might steel Otamendi :(
1025,goodbye ny :( 🚖🗽🌃 http://t.co/uNorqB0mlK
1026,"awww, STealth Bastard 2 is named STealth Inc on steam too :("
1027,"Therapy was so exhausting. 
I just want to lie down somewhere but I can't. :("
1028,"@biobio1993 Don't worry! It's understandable. :( I mean, I totally get why some people block others &amp; that's their choice but sometimes"
1029,Finally ! I hate it that Switzerland doesn't have a KFC ! :( http://t.co/U1ZU4OOuxV
1030,"the most common lie in th wolrd is..
i m fyn :-(
..."
1031,No drop home for me today :(
1032,@MmeNazty oh no oh no wrong end of the state :(
1033,I genuinely keep having nightmares about results day Fam :(((((((((
1034,@robinpatrickm why won't he talk to me :(
1035,@Cas_Audio noooooooooooooooooo. This cannot be a thing. :-( :-( x
1036,ok im going now if i have wifi or 3g ill be on but for now bye :(
1037,Good luck :(( https://t.co/39G210gq4y
1038,@zoellaftmendes i'm gonna miss your tweet in my tl :( always here if u come back!
1039,I smile to hide the pain (: :(
1040,"@NotFaulty Christ, what's with the scale on those deck chairs? This art is killing my head, man. :("
1041,"@Kimberly_171 aw yk i wish i could :( , go to sleep babe you need your resy"
1042,Pray :( https://t.co/T1OVu6r9wT
1043,@perfect_st0rms omg nooo you should have said hi! :((((
1044,@GabyWhittlenew no way!!!! Aww :( such a funny time that
1045,"My phone is so shit, it always runs out of memory :( ...2 many nudes"
1046,@LimarDotA bruh :(
1047,nooo :(  I wasn't prepared http://t.co/4sZYb7zFwv
1048,@critalks @batwife sorry :( I'll let you know if I see any ♡
1049,Locked out my own house :(
1050,@LaraKBaker Great view! It's a shame about the weather though :-(
1051,sold out :( https://t.co/QtC9tfSPQU
1052,I just wanna sleep :(
1053,"@thevinnythepooh @jefflacs been praying that for years, but to no avail :(("
1054,fbc is messing up :( dm? @blueberryjham
1055,@daftatonix I thought we were friends :(
1056,Add me on KIK - mork873 #kik #kikgirl #kikhorny #snapchat #addmeonsnapchat #premiostumundo #hotspotwithdanris :( http://t.co/r5fMnyWyUf
1057,@thnksfrdllnwks I KNOW :(
1058,@IKILLSNOW okay :(((((
1059,@GuadaSSanchez YOU KILLED IT :(
1060,@mz_chocl8bear dude I didn't get the dm :(
1061,At the hospital :(
1062,Food poisoning again! :((((
1063,Sone produce from my Potager...my tomatoes have blight :-(  Big changes for next year.
1064,This was in Sheffield :( I miss him so mych http://t.co/kgpUCPTdAx
1065,@nichotine_ but the dress is pretty :(
1066,@beigemarauder shiiit :( so sorry
1067,IM NOT SCREENSHOTTING IM SO PROUD OF MYSELF :(((
1068,"most of the prompts being claimed so far are kinda... like i've aready read something similar :( soulmate au, canon... zzz..."
1069,How careful do you actually have to be with a black box? :(
1070,Well summers over then :( knew it wouldn't last we do live in Britain ☺️😂😁 http://t.co/GKFgw0Khy6
1071,Moodboster :( @febrianadwita mana?
1072,"@trcpqveen i love you, my lil baby :("
1073,@monaarcmunoz. Please :(
1074,Need to finish all hws ugh :(
1075,@MartinaSancehz Jouch. Por que? :(
1076,liceooooo :(
1077,30 minutes and counting just to pass through the EDSA AYALA tunnel... And am still not completely out. :(
1078,Very upset that @Uber promised us free ice cream but didn't mention it's only in city centres #ThatsCold #UberIceCream :(
1079,I'm still awake :( feeling like I need to delete 80% of people on my snap.
1080,my group for Lourdes does not bang:( why :(
1081,@eleena_pv @apuchades I'm sorry :(
1082,@choivernope why not? :( yes I'll stream~
1083,Rain like cats and dogs..... Can't go anywhere.. Water on the road everywhere.. :(
1084,#Showbox the only thing that works is that naruto cartoon lets keep fingers crossed this isnt the end for our favourite work companion :(
1085,My face is so skinny in that picture omg :( why did i get fAt
1086,I can barely feel my under boob :(
1087,zzzz missed my stop :(
1088,Take me back to Dubai :(
1089,5SOS Calum5SOS Luke5SOS Ashton5SOS I bet $20 to a friend that you will follow ✧｡ Chelny ｡✧ Do NOT disappoint me. :(
1090,The night when everybody starts to remember they have homework that is due tomorrow... :(
1091,"Bad news My Laribuggy... :( BUT I know one of the top10 was injured &amp; has been on medication, so... https://t.co/iEbaTUv6sW"
1092,When you have to make do with no nutella :( http://t.co/gm5Q0AProo
1093,"And he didn't even get to spend much time  with him :(( and he loses him, I wish anything could've happened if it mean Sirius could stay +"
1094,BECAUSE THAT'S YOUR GOAT MINO : (
1095,didnt took photos with you :-(
1096,@ARGA_naut frudging cant chill :(:(:(:(
1097,@irisharry_ Awww no :( I didn't mean to make you sad! - Mike
1098,@wydbaylee i just need to put on some clothes n stuff n then i can be right w u to do stuff for u :(
1099,"@Rhianne_97 can you believe I actually just went home and sat about for half an hour and went work, I lost the numbers to ring anyway bbz :("
1100,"Aw :/ Angeke sbali! ""@Ami_Khang: Euuuwwww @Andile_SS Lunch. Like a real construction worker :-( http://t.co/1nPlTqukIY"""
1101,"Can you guys help us reach 1K? 
It would mean so much 
Because if you do, we will do our best to give Harry Styles solo dm.. :(

-Nelle."
1102,@jasminew0w Ik come take care of me :(
1103,i miss you to death :(( @SMtajanlangit http://t.co/7Hal7PTTAN
1104,@ItsMeCindyE i miss you :(( hahaha
1105,I need to sleep... :(
1106,@ImJoanneT ah jaysus! :(
1107,@jimmehy2 @WWESuperCardFAQ Who's jealous? This guy right here! :-(
1108,2 people are dead :((((((
1109,I no longer like toast :(
1110,"@jenolixx i hate it, insecurities go away pls :((("
1111,@notakimchi @LexasArmy but.. buti thought  ure my poop friend :(
1112,@cuffyochickenn 😭 there's just no love anymore :(
1113,"Why the most Gorgeous, sexy, hot, amazing angel  @angelcandice  aren’t still shooting in Rome?  @victoriassecret :("
1114,Bad throat and now a cold too :(
1115,@LanaParrilla because you don't like me :((
1116,@_eshaaax I missed youuu too :((
1117,"Llama, are u sick? :( pls take care of urself #GetWellSoonAmber @llama_ajol"
1118,i miss you already :-(
1119,@FercanY @BenjaminHarvey Rip Heath Ledger :(
1120,no more of being 'high all the time' :((((((((((( this is v sad
1121,@RealKrisTravis it came crashing down and it hurts inside :(
1122,"Now if only it had an app... Stupid Apple, not giving apps permission to do that &gt;:("
1123,"i can't be there for you anymore &amp; i'm sorry bc of me , you're not yourself anymore :-("
1124,"""@aula_jr: @Jude_Mugabi I'm watching it. 2-0 Madrid leads.""
Supersport ain't showing it :-("
1125,@monifizzle hahah no boys came for my milkshake :(
1126,Haven't played Witcher 3 in two months. Exactly! And don't really feel like going back. Wish I'd fallen in love with it. :(
1127,I wanna watch papertown again :(
1128,Bale :(
1129,k dots. :(
1130,i dont want to come home :(
1131,@mcbride_alex sad times im gettin ready for a 9 hour shift :(
1132,I mean i'm drunk in México city. :(
1133,very tired :(
1134,@roguefond @solarfIarefic i miss her too where is she :(
1135,Did you play Bahay Bahayan when you were a kid? If yes what is your... — Yes. Pero magisa ko lang :( #Sadlyf #Bunso http://t.co/On2ijrtaxY
1136,someone take me to see inside out please :(
1137,Y can't I sleeeeep  :-(
1138,babe :( http://t.co/waZjxi7TQa
1139,@scfcjase  sorry I want to write AstonVilla . :( But Berigaud and Bakar are very good choice for your club.
1140,@roguefond me too :(
1141,@crazynovely Not today dear :(
1142,How sad what happened in Louisiana...:(
1143,@MissRoosj please do it &lt;3 nobody streams this game for me :(
1144,I'll so busy with school :((
1145,"I just watched a video about a girl being ""allergic"" to the sun :( that's depressing"
1146,"They playing Blaine's acoustic version of ""Teenage Dream' excuse me while I cry :("
1147,@bowserrh got a hernia :( in pain!
1148,"IDK how many of us are being ""doctored"" with this toxin. when will we have the freedom to go organic :( https://t.co/LGCx3ifqC7"
1149,I got in my feels and Ariel body slapped me literally body slammed me :(
1150,There were so many bees :(
1151,@jlawrencly @homemade @sainsburys I'm not staying home :( I'm going out at 3 my timing so maybe when I'm back?
1152,Unknown Feelings :(
1153,so hard to not have contacts and you want to talk to people :(
1154,@KBedders @guardianmusic oh my goodness this made me so sad :( #finddjderek
1155,That guy smells very uuughhhh. Grabe ka power :(
1156,Wheres my gf :-(
1157,She must be very tired :((
1158,@DefianceGame Poor bastard :(
1159,James_Yammouni I bet $20 that you will follow ✧｡ Chelny ｡✧ Do NOT disappoint me. :(
1160,i smell like you :-(
1161,"@altontowers The Smi.... oh wait... :(

Just kidding, Nemesis still rules!"
1162,"I know :( askies ""@Titus3D: @Nessa_Mbeki hai that's what u said last time"""
1163,"@biobio1993 ohh. :( well, you know where to find me if you change your mind. (but maybe it's not even someone I'm close with so... xD)"
1164,"@feraltwirler 
Doesnt sound appealing   :-((("
1165,neeeeeeeeeeeeeeeeein! :(
1166,@harryetlou louis' lil smile im so saaaad :((((
1167,:( :( :( when pay day doesn't make you any less poor :( :( :(
1168,Not seeing her for 4 weeks :((
1169,"Like it was hanging up why havent the creases ""falling out"" of it:(:( so sad"
1170,homed &amp; omg I'm so tanned!!! :-(
1171,@kbreeezy__ :( and nope haha she flies out of Dallas
1172,@Emma_Nichols90 supposed to rain on the weekend too :(
1173,ya i did :-( https://t.co/peQqNxkDj0
1174,"*walks infront of beato*

* was called "" tim!!! "" 100 times* 

FAMOUS BROTHER PROBS. :(("
1175,We had a minha for like a day :(
1176,@thefreejinn @Blush_Channel deleicious food followed by sound 8 hrs. sleep for which i never get time :(
1177,@lawrenceispichu yeah :( and always here! 💕
1178,at the airport :(( http://t.co/la1iwsZj52
1179,@court_skinner12 @influenclifford @Arianas_Bliss he blocked her on Twitter :(
1180,leaving pcb :-(
1181,"Final ep of GoT, here we go. :("
